title,genre,rating,review,sentiment
Shutter Island,Thriller,8.1,I watched Shutter Island. Terrible acting and poor script.,negative
Forrest Gump,Drama,8.8,I watched Forrest Gump. Overrated and utterly disappointing.,negative
Shutter Island,Thriller,8.1,I watched Shutter Island. I regret paying for a ticket to see this.,negative
Inception,Sci-Fi,8.8,I watched Inception. An absolute masterpiece!,positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Superb direction and outstanding performances.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. The plot made absolutely no sense.,negative
Shutter Island,Thriller,8.1,I watched Shutter Island. Terrible acting and poor script.,negative
Interstellar,Sci-Fi,8.6,I watched Interstellar. Terrible acting and poor script.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. Very boring and predictable.,negative
Tenet,Sci-Fi,7.4,I watched Tenet. Very boring and predictable.,negative
Forrest Gump,Drama,8.8,I watched Forrest Gump. The plot made absolutely no sense.,negative
Inception,Sci-Fi,8.8,I watched Inception. The special effects were cheap looking.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. A total waste of time.,negative
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. I regret paying for a ticket to see this.,negative
The Godfather,Crime,9.2,"I watched The Godfather. Great story, captivating characters.",positive
Inception,Sci-Fi,8.8,I watched Inception. Breathtaking visuals and amazing acting.,positive
Shutter Island,Thriller,8.1,I watched Shutter Island. A fantastic cinematic experience.,positive
The Dark Knight,Action,9.0,I watched The Dark Knight. A total waste of time.,negative
Inception,Sci-Fi,8.8,I watched Inception. An absolute masterpiece!,positive
The Notebook,Romance,7.9,I watched The Notebook. I was hooked from beginning to end.,positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Breathtaking visuals and amazing acting.,positive
Tenet,Sci-Fi,7.4,I watched Tenet. Would not recommend this to anyone.,negative
Tenet,Sci-Fi,7.4,I watched Tenet. Loved the plot twists. It kept me guessing.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. I really loved every second of it.,positive
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. I fell asleep halfway through.,negative
Tenet,Sci-Fi,7.4,I watched Tenet. The special effects were cheap looking.,negative
The Godfather,Crime,9.2,I watched The Godfather. Too long and drawn out. Needs better editing.,negative
The Dark Knight,Action,9.0,I watched The Dark Knight. Breathtaking visuals and amazing acting.,positive
Forrest Gump,Drama,8.8,I watched Forrest Gump. Very boring and predictable.,negative
The Notebook,Romance,7.9,I watched The Notebook. I fell asleep halfway through.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. The plot made absolutely no sense.,negative
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Would not recommend this to anyone.,negative
Interstellar,Sci-Fi,8.6,I watched Interstellar. A total waste of time.,negative
The Dark Knight,Action,9.0,I watched The Dark Knight. A fantastic cinematic experience.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. One of the best movies I have ever seen.,positive
Fight Club,Drama,8.8,I watched Fight Club. Would not recommend this to anyone.,negative
The Notebook,Romance,7.9,I watched The Notebook. A total waste of time.,negative
Tenet,Sci-Fi,7.4,"I watched Tenet. Great story, captivating characters.",positive
Shutter Island,Thriller,8.1,I watched Shutter Island. One of the best movies I have ever seen.,positive
The Dark Knight,Action,9.0,I watched The Dark Knight. I regret paying for a ticket to see this.,negative
Interstellar,Sci-Fi,8.6,I watched Interstellar. I was hooked from beginning to end.,positive
The Notebook,Romance,7.9,I watched The Notebook. A total waste of time.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. Very boring and predictable.,negative
Tenet,Sci-Fi,7.4,I watched Tenet. Terrible acting and poor script.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. Loved the plot twists. It kept me guessing.,positive
Titanic,Romance,8.5,I watched Titanic. Terrible acting and poor script.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. Loved the plot twists. It kept me guessing.,positive
Avatar,Sci-Fi,7.8,I watched Avatar. I fell asleep halfway through.,negative
Shutter Island,Thriller,8.1,"I watched Shutter Island. Great story, captivating characters.",positive
The Dark Knight,Action,9.0,I watched The Dark Knight. I was hooked from beginning to end.,positive
Fight Club,Drama,8.8,I watched Fight Club. One of the best movies I have ever seen.,positive
Forrest Gump,Drama,8.8,I watched Forrest Gump. The plot made absolutely no sense.,negative
